X.OTU.ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
denovo157,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Boletales, f__Suillaceae, g__Suillus, s__Suillus cothurnatus
denovo158,k__Fungi,,,,,,
denovo159,k__Fungi,,,,,,
denovo160,k__Fungi,,,,,,
denovo161,k__Fungi, p__Ascomycota, c__Leotiomycetes, o__Helotiales,,,
denovo162,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo163,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Bolbitiaceae, g__Conocybe,
denovo164,k__Fungi,,,,,,
denovo165,k__Fungi,,,,,,
denovo166,k__Fungi,,,,,,
denovo167,k__Fungi,,,,,,
denovo168,k__Fungi,,,,,,
denovo169,k__Fungi,,,,,,
denovo170,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Lyophyllaceae, g__Tephrocybe, s__Tephrocybe tylicolor
denovo171,k__Fungi,,,,,,
denovo172,k__Fungi,,,,,,
denovo173,k__Fungi,,,,,,
denovo174,k__Fungi,,,,,,
denovo175,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales,,,
denovo176,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Thelephorales, f__Thelephoraceae,,
denovo177,k__Fungi,,,,,,
denovo178,k__Fungi,,,,,,
denovo179,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo180,k__Fungi,,,,,,
denovo181,k__Fungi,,,,,,
denovo182,k__Fungi,,,,,,
denovo183,k__Fungi,,,,,,
denovo184,k__Fungi,,,,,,
denovo185,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Boletales, f__Paxillaceae, g__Paxillus, s__Paxillus involutus
denovo186,k__Fungi,,,,,,
denovo187,k__Fungi,,,,,,
denovo188,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae,,
denovo189,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Thelephorales, f__Thelephoraceae, g__Tomentella,
denovo190,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Cortinariaceae, g__Cortinarius, s__Cortinarius alpinus
denovo191,k__Fungi, p__Ascomycota, c__Leotiomycetes, o__Helotiales, f__Hyaloscyphaceae, g__Hyaloscypha, s__Hyaloscypha aureliella
denovo192,k__Fungi,,,,,,
denovo193,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales,,,
denovo194,k__Fungi,,,,,,
denovo195,k__Fungi,,,,,,
denovo196,k__Fungi,,,,,,
denovo197,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Diversisporales, f__Acaulosporaceae, g__Entrophospora, s__Entrophospora sp
denovo198,k__Fungi, p__Basidiomycota, c__Tremellomycetes, o__Tremellales, f__Incertae sedis, g__Hannaella, s__Hannaella luteola
denovo199,k__Fungi,,,,,,
denovo200,k__Fungi,,,,,,
denovo201,k__Fungi,,,,,,
denovo202,k__Fungi,,,,,,
denovo203,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae,,
denovo204,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Hydnangiaceae, g__Laccaria,
denovo205,k__Fungi,,,,,,
denovo206,k__Fungi,,,,,,
denovo207,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Tricholomataceae, g__Tricholoma, s__Tricholoma bufonium
denovo208,k__Fungi,,,,,,
denovo209,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Thelephorales, f__Thelephoraceae, g__Tomentella,
denovo210,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo211,k__Fungi,,,,,,
denovo212,k__Fungi,,,,,,
denovo213,k__Fungi,,,,,,
denovo214,k__Fungi,,,,,,
denovo215,k__Fungi,,,,,,
denovo216,k__Fungi,,,,,,
denovo217,k__Fungi,,,,,,
denovo218,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae, g__unidentified, s__uncultured Rhizophagus
denovo219,k__Fungi,,,,,,
denovo220,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo221,k__Fungi,,,,,,
denovo222,k__Fungi,,,,,,
denovo223,k__Fungi,,,,,,
denovo224,k__Fungi,,,,,,
denovo225,k__Fungi,,,,,,
denovo226,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Diversisporales, f__Acaulosporaceae, g__Entrophospora, s__Entrophospora sp
denovo227,k__Fungi,,,,,,
denovo228,k__Fungi,,,,,,
denovo229,k__Fungi,,,,,,
denovo230,k__Fungi,,,,,,
denovo231,k__Fungi,,,,,,
denovo232,k__Fungi,,,,,,
denovo233,k__Fungi,,,,,,
denovo234,k__Fungi,,,,,,
denovo235,k__Fungi,,,,,,
denovo236,k__Fungi,,,,,,
